,car_model,year_of_manufacture,price,fuel,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,alto k10,2016,4253.731343283582,Petrol,,,
1,ignis,2017,7313.432835820897,Petrol,,,
2,sx4,2011,6567.164179104479,Petrol,,,
3,alto k10,2014,3731.3432835820895,Petrol,,,
4,wagon r,2013,4328.358208955224,Petrol,,,
5,swift,2011,4477.611940298508,Petrol,,,
6,swift,2013,6194.029850746269,Petrol,,,
7,swift,2017,8955.223880597016,Petrol,,,
8,alto k10,2010,2910.4477611940297,Petrol,,,
9,ciaz,2015,11119.402985074626,Diesel,,,
10,alto k10,2016,4253.731343283582,Petrol,0.0,,
11,ignis,2017,7313.432835820897,Petrol,1.0,,
12,sx4,2011,6567.164179104479,Petrol,2.0,,
13,alto k10,2014,3731.3432835820895,Petrol,3.0,,
14,wagon r,2013,4328.358208955224,Petrol,4.0,,
15,swift,2011,4477.611940298508,Petrol,5.0,,
16,swift,2013,6194.029850746269,Petrol,6.0,,
17,swift,2017,8955.223880597016,Petrol,7.0,,
18,alto k10,2010,2910.4477611940297,Petrol,8.0,,
19,ciaz,2015,11119.402985074626,Diesel,9.0,,
20,alto k10,2016,2.0,Petrol,10.0,0.0,
21,ignis,2017,2.0,Petrol,11.0,1.0,
22,sx4,2011,2.0,Petrol,12.0,2.0,
23,alto k10,2014,2.0,Petrol,13.0,3.0,
24,wagon r,2013,2.0,Petrol,14.0,4.0,
25,swift,2011,2.0,Petrol,15.0,5.0,
26,swift,2013,2.0,Petrol,16.0,6.0,
27,swift,2017,2.0,Petrol,17.0,7.0,
28,alto k10,2010,2.0,Petrol,18.0,8.0,
29,ciaz,2015,2.0,Diesel,19.0,9.0,
30,alto k10,2016,2.0,Petrol,20.0,10.0,0.0
31,ignis,2017,2.0,Petrol,21.0,11.0,1.0
32,sx4,2011,2.0,Petrol,22.0,12.0,2.0
33,alto k10,2014,2.0,Petrol,23.0,13.0,3.0
34,wagon r,2013,2.0,Petrol,24.0,14.0,4.0
35,swift,2011,2.0,Petrol,25.0,15.0,5.0
36,swift,2013,2.0,Petrol,26.0,16.0,6.0
37,swift,2017,2.0,Petrol,27.0,17.0,7.0
38,alto k10,2010,2.0,Petrol,28.0,18.0,8.0
39,ciaz,2015,2.0,Diesel,29.0,19.0,9.0
40,ritz,2014,2.0,Petrol,30.0,20.0,10.0
41,sx4,2013,2.0,Diesel,31.0,21.0,11.0
42,ciaz,2017,2.0,Petrol,32.0,22.0,12.0
43,wagon r,2011,2.0,Petrol,33.0,23.0,13.0
44,swift,2014,2.0,Diesel,34.0,24.0,14.0
45,vitara brezza,2018,2.0,Diesel,35.0,25.0,15.0
46,ciaz,2015,2.0,Petrol,36.0,26.0,16.0
47,s cross,2015,2.0,Diesel,37.0,27.0,17.0
48,ciaz,2016,2.0,Diesel,38.0,28.0,18.0
49,ciaz,2015,2.0,Diesel,39.0,29.0,19.0
50,alto 800,2017,2.0,Petrol,40.0,30.0,20.0
51,ciaz,2015,2.0,Diesel,41.0,31.0,21.0
52,ciaz,2015,2.0,Petrol,42.0,32.0,22.0
53,ertiga,2015,2.0,Petrol,43.0,33.0,23.0
54,dzire,2009,2.0,Petrol,44.0,34.0,24.0
55,ertiga,2016,2.0,Diesel,45.0,35.0,25.0
56,ertiga,2015,2.0,Diesel,46.0,36.0,26.0
57,ertiga,2016,2.0,Diesel,47.0,37.0,27.0
58,wagon r,2015,2.0,CNG,48.0,38.0,28.0
59,sx4,2010,2.0,Petrol,49.0,39.0,29.0
60,etios liva,2014,2.0,Diesel,50.0,40.0,30.0
61,corolla altis,2011,2.0,Diesel,51.0,41.0,31.0
62,corolla altis,2013,2.0,Petrol,52.0,42.0,32.0
63,etios liva,2011,2.0,Petrol,53.0,43.0,33.0
64,etios cross,2014,2.0,Diesel,54.0,44.0,34.0
65,etios g,2015,2.0,Petrol,55.0,45.0,35.0
66,corolla altis,2013,2.0,Petrol,56.0,46.0,36.0
67,corolla,2004,2.0,Petrol,57.0,47.0,37.0
68,corolla altis,2010,2.0,Petrol,58.0,48.0,38.0
69,fortuner,2012,2.0,Diesel,59.0,49.0,39.0
70,corolla altis,2016,2.0,Diesel,60.0,50.0,40.0
71,etios gd,2015,2.0,Diesel,61.0,51.0,41.0
72,innova,2017,2.0,Diesel,62.0,52.0,42.0
73,innova,2015,2.0,Diesel,63.0,53.0,43.0
74,innova,2005,2.0,Diesel,64.0,54.0,44.0
75,camry,2006,2.0,Petrol,65.0,55.0,45.0
76,land cruiser,2010,2.0,Diesel,66.0,56.0,46.0
77,corolla altis,2012,2.0,Petrol,67.0,57.0,47.0
78,etios liva,2013,2.0,Petrol,68.0,58.0,48.0
79,etios g,2014,2.0,Petrol,69.0,59.0,49.0
80,corolla altis,2013,2.0,Petrol,70.0,60.0,50.0
81,etios cross,2015,2.0,Petrol,71.0,61.0,51.0
82,fortuner,2014,2.0,Diesel,72.0,62.0,52.0
83,fortuner,2015,2.0,Diesel,73.0,63.0,53.0
84,fortuner,2017,2.0,Diesel,74.0,64.0,54.0
85,etios liva,2014,2.0,Diesel,75.0,65.0,55.0
86,innova,2017,2.0,Petrol,76.0,66.0,56.0
87,fortuner,2010,2.0,Diesel,77.0,67.0,57.0
88,corolla altis,2011,2.0,Petrol,78.0,68.0,58.0
89,corolla altis,2016,2.0,Petrol,79.0,69.0,59.0
90,ritz,2014,2.0,Petrol,80.0,70.0,
91,sx4,2013,2.0,Diesel,81.0,71.0,
92,ciaz,2017,2.0,Petrol,82.0,72.0,
93,wagon r,2011,2.0,Petrol,83.0,73.0,
94,swift,2014,2.0,Diesel,84.0,74.0,
95,vitara brezza,2018,2.0,Diesel,85.0,75.0,
96,ciaz,2015,2.0,Petrol,86.0,76.0,
97,s cross,2015,2.0,Diesel,87.0,77.0,
